EVENTTIME_UNIXTIME,DEVICEID,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
1661605200,1BY6WEcLGh8j5v7,72.42857143,6.985714286,5520.571429,6485318.571
1661604300,1BY6WEcLGh8j5v7,314.75,30.4125,5515.625,6485313.625
1661603400,1BY6WEcLGh8j5v7,564.2857143,54.61428571,5504.857143,6485302.857
1661602500,1BY6WEcLGh8j5v7,878.1428571,85.27142857,5488.714286,6485286.714
1661601600,1BY6WEcLGh8j5v7,1260.6,122.62,5456,6485254
1661600700,1BY6WEcLGh8j5v7,1457.714286,141.9285714,5428.714286,6485226.714
1661599800,1BY6WEcLGh8j5v7,1218.375,118.525,5395,6485193
1661598900,1BY6WEcLGh8j5v7,1070.428571,104.0428571,5369.142857,6485167.143
1661598000,1BY6WEcLGh8j5v7,1783.5,174.475,5335.5,6485133.5
