EVENTTIME_UNIXTIME,DEVICEID,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
1661624100,zVJPv84UY57bAof,0,0,5910,7363272
1661624100,ZoEaEvLYb1n2sOq,0,0,5871,7341753
1661624100,ZnxXDlPa8U1GXgE,0,0,5929,6770737
1661624100,zBIq5rxdHJRwDNY,0,0,5817,6583369
1661624100,z9Y9gH1T5YWrNuG,0,0,5819,7251204
1661624100,YxYtjZvoooNbGkE,0,0,5886,7425442
1661624100,WRmjgnKYAwPKWDb,0,0,5953,7273532
1661624100,wCURE6d3bPkepu2,0,0,5883,7028601
1661624100,VHMLBKoKgIrUVDU,0,0,6007,7456208
1661624100,uHbuxQJl8lW7ozc,0,0,5967,7287002
1661624100,sjndEbLyjtCKgGv,0,0,5887,7261681
1661624100,rGa61gmuvPhdLxV,0,0,5950,7356897
1661624100,pkci93gMrogZuBj,0,0,5952,7415430
1661624100,McdE0feGgRqW7Ca,0,0,5992,7408587
1661624100,ih0vzX44oOqAx2f,0,0,5758,6426129
1661624100,iCRJl6heRkivqQ3,0,0,5957,7426263
1661624100,bvBOhCH3iADSZry,0,0,5460,6539009
1661624100,adLQvlD726eNBSB,0,0,5237,6524508
1661624100,7JYdWkrLSPkdwr4,0,0,5856,7846821
1661624100,3PZuoBAID5Wc2HD,0,0,6052,7237425
1661624100,1IF53ai7Xc0U56Y,0,0,6034,6433566
1661623200,zVJPv84UY57bAof,0,0,5910,7363272
1661623200,ZoEaEvLYb1n2sOq,0,0,5871,7341753
1661623200,ZnxXDlPa8U1GXgE,0,0,5929,6770737
1661623200,zBIq5rxdHJRwDNY,0,0,5817,6583369
1661623200,z9Y9gH1T5YWrNuG,0,0,5819,7251204
1661623200,YxYtjZvoooNbGkE,0,0,5886,7425442
1661623200,WRmjgnKYAwPKWDb,0,0,5953,7273532
1661623200,wCURE6d3bPkepu2,0,0,5883,7028601
1661623200,VHMLBKoKgIrUVDU,0,0,6007,7456208
1661623200,uHbuxQJl8lW7ozc,0,0,5967,7287002
1661623200,sjndEbLyjtCKgGv,0,0,5887,7261681
1661623200,rGa61gmuvPhdLxV,0,0,5950,7356897
1661623200,pkci93gMrogZuBj,0,0,5952,7415430
1661623200,McdE0feGgRqW7Ca,0,0,5992,7408587
1661623200,ih0vzX44oOqAx2f,0,0,5758,6426129
1661623200,iCRJl6heRkivqQ3,0,0,5957,7426263
1661623200,bvBOhCH3iADSZry,0,0,5460,6539009
1661623200,adLQvlD726eNBSB,0,0,6110,6524508
1661623200,7JYdWkrLSPkdwr4,0,0,5856,7846821
1661623200,3PZuoBAID5Wc2HD,0,0,6052,7237425
1661623200,1IF53ai7Xc0U56Y,0,0,6034,6433566
1661622300,zVJPv84UY57bAof,0,0,5910,7363272
1661622300,ZoEaEvLYb1n2sOq,0,0,5871,7341753
1661622300,ZnxXDlPa8U1GXgE,0,0,5929,6770737
