EVENTTIME_UNIXTIME,DEVICEID,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
1661622300,zBIq5rxdHJRwDNY,0,0,5817,6583369
1661622300,z9Y9gH1T5YWrNuG,0,0,5819,7251204
1661622300,YxYtjZvoooNbGkE,0,0,5886,7425442
1661622300,WRmjgnKYAwPKWDb,0,0,5953,7273532
1661622300,wCURE6d3bPkepu2,0,0,5883,7028601
1661622300,VHMLBKoKgIrUVDU,0,0,6007,7456208
1661622300,uHbuxQJl8lW7ozc,0,0,5967,7287002
1661622300,sjndEbLyjtCKgGv,0,0,5887,7261681
1661622300,rGa61gmuvPhdLxV,0,0,5950,7356897
1661622300,pkci93gMrogZuBj,0,0,5952,7415430
1661622300,McdE0feGgRqW7Ca,0,0,5992,7408587
1661622300,ih0vzX44oOqAx2f,0,0,5758,6426129
1661622300,iCRJl6heRkivqQ3,0,0,5957,7426263
1661622300,bvBOhCH3iADSZry,0,0,5460,6539009
1661622300,adLQvlD726eNBSB,0,0,6110,6524508
1661622300,7JYdWkrLSPkdwr4,0,0,5856,7846821
1661622300,3PZuoBAID5Wc2HD,0,0,6052,7237425
1661622300,1IF53ai7Xc0U56Y,0,0,6034,6433566
1661621400,zVJPv84UY57bAof,0,0,5910,7363272
1661621400,ZoEaEvLYb1n2sOq,0,0,5871,7341753
1661621400,ZnxXDlPa8U1GXgE,0,0,5929,6770737
1661621400,zBIq5rxdHJRwDNY,0,0,5817,6583369
1661621400,z9Y9gH1T5YWrNuG,0,0,5819,7251204
1661621400,YxYtjZvoooNbGkE,0,0,5886,7425442
1661621400,WRmjgnKYAwPKWDb,0,0,5953,7273532
1661621400,wCURE6d3bPkepu2,0,0,5883,7028601
1661621400,VHMLBKoKgIrUVDU,0,0,6007,7456208
1661621400,uHbuxQJl8lW7ozc,0,0,5967,7287002
1661621400,sjndEbLyjtCKgGv,0,0,5887,7261681
1661621400,rGa61gmuvPhdLxV,0,0,5950,7356897
1661621400,pkci93gMrogZuBj,0,0,5952,7415430
1661621400,McdE0feGgRqW7Ca,0,0,5992,7408587
1661621400,ih0vzX44oOqAx2f,0,0,5758,6426129
1661621400,iCRJl6heRkivqQ3,0,0,5957,7426263
1661621400,bvBOhCH3iADSZry,0,0,5460,6539009
1661621400,adLQvlD726eNBSB,0,0,6110,6524508
1661621400,7JYdWkrLSPkdwr4,0,0,5856,7846821
1661621400,3PZuoBAID5Wc2HD,0,0,6052,7237425
1661621400,1IF53ai7Xc0U56Y,0,0,6034,6433566
1661620500,zVJPv84UY57bAof,0,0,5910,7363272
1661620500,ZoEaEvLYb1n2sOq,0,0,5871,7341753
1661620500,ZnxXDlPa8U1GXgE,0,0,5929,6770737
1661620500,zBIq5rxdHJRwDNY,0,0,5817,6583369
1661620500,z9Y9gH1T5YWrNuG,0,0,5819,7251204
1661620500,YxYtjZvoooNbGkE,0,0,5886,7425442
1661620500,WRmjgnKYAwPKWDb,0,0,5953,7273532
1661620500,wCURE6d3bPkepu2,0,0,5883,7028601
1661620500,VHMLBKoKgIrUVDU,0,0,6007,7456208
1661620500,uHbuxQJl8lW7ozc,0,0,5967,7287002
1661620500,sjndEbLyjtCKgGv,0,0,5887,7261681
1661620500,rGa61gmuvPhdLxV,0,0,5950,7356897
1661620500,pkci93gMrogZuBj,0,0,5952,7415430
1661620500,McdE0feGgRqW7Ca,0,0,5992,7408587
1661620500,ih0vzX44oOqAx2f,0,0,5758,6426129
1661620500,iCRJl6heRkivqQ3,0,0,5957,7426263
1661620500,bvBOhCH3iADSZry,0,0,5460,6539009
1661620500,adLQvlD726eNBSB,0,0,6110,6524508
1661620500,7JYdWkrLSPkdwr4,0,0,5856,7846821
1661620500,3PZuoBAID5Wc2HD,0,0,6052,7237425
1661620500,1IF53ai7Xc0U56Y,0,0,6034,6433566
